"mora-meanness","Meanness","card-meanness","http://en.wiktionary.org/wiki/meanness","Vice","Anger, Contempt, Churlishness, Disdain, Obdurateness","E+ARt","EDE5A5",,
"mora-obliviousness","Obliviousness","card-obliviousness","http://en.wiktionary.org/wiki/obliviousness","Vice","Unconcern, Withdrawal","T-R-",771183,,
"mora-obscenity","Obscenity","card-obscenity","http://en.wiktionary.org/wiki/obscenity","Vice","Apostasy, Blasphemy, Profanity","P+O-","C149D3","Use of vulgar or inappropriate language or actions.",
"mora-obsession","Obsession","card-obsession","http://en.wiktionary.org/wiki/obsession","Vice","Fetish, Preoccupation","T+ir","AA9651",,
"mora-pettiness","Pettiness","card-pettiness","http://en.wiktionary.org/wiki/pettiness","Vice","Cavil, Immaturity","R-P-Et","2DFE2D",,
"mora-prejudice","Prejudice","card-prejudice","http://en.wiktionary.org/wiki/prejudice","Vice","Bigotry, Chauvanism, Discrimination, Intolerance, Racism","R-I+T-","734D25","Judgment of a person or group without logical motivations.",
"mora-pride","Pride","card-pride","http://en.wiktionary.org/wiki/pride","Vice","Arrogance, Audacity, Bluntness, Boastfulness, Egotism, Egoism, Pompousness","I+","BC931A",,
"mora-regret","Regret","card-regret","http://en.wiktionary.org/wiki/regret","Vice","Cumpunction, Disgrace, Humiliation, Shame","T+I-O+","F8A8C8",,
"mora-resentment","Resentment","card-resentment","http://en.wiktionary.org/wiki/resentment","Vice","Acerbity, Bitterness, Indignation, Umbrage","E+T+R+","00F00F","Harbored anger over and above what is necessary.",
"mora-selfdestruction","Self-Destruction","card-selfdestruction","http://en.wiktionary.org/wiki/selfdestruction","Vice","Self-Harm, Self-Loathing","I-A+","7A04B7","Tendency to cause harm to one's own person or station.",
"mora-selfishness","Selfishness","card-selfishness","http://en.wiktionary.org/wiki/selfishness","Vice","Self-indulgence","I+O+","DADAAD",,
"mora-shamelessness","Shamelessness","card-shamelessness","http://en.wiktionary.org/wiki/shamelessness","Vice","Impudence, Effrontery","P+","6097FF",,
"mora-shrewdness","Shrewdness","card-shrewdness","http://en.wiktionary.org/wiki/shrewdness","Vice","Cunning, Guile","T+","ED7997","Manipulative behavior in ",
"mora-sloth","Sloth","card-sloth","http://en.wiktionary.org/wiki/sloth","Vice","Apathy, Disregard, Drowsiness, Idleness, Laziness, Lethargy, Neglect, Procrastination, Torpor","A-","D1D1D1",,
"mora-soullessness","Soulessness","card-soullessness","http://en.wiktionary.org/wiki/soullessness","Vice","Callousness, Feralness, Heartlessness ","S-","FF006B","Deficiency of concern in moral qualities.",
"mora-spite","Spite","card-spite","http://en.wiktionary.org/wiki/spite","Vice","Asperity, Acrimony, Animosity, Malice, Misanthropy, Rancor","E+R-","EFF313",,
"mora-squalor","Squalor","card-squalor","http://en.wiktionary.org/wiki/squalor","Vice","Dirtiness, Filthiness, Foulness, Mephistis, Uncleanliness, Messiness, Untidiness","R-A","844223",,
"mora-stinginess","Stinginess","card-stinginess","http://en.wiktionary.org/wiki/stinginess","Vice","Cheapness, Miserliness, Parsimony","O+R-","EAC117","Unhealthy adherence to material possessions.",
"mora-stubbornness","Stubbornness","card-stubbornness","http://en.wiktionary.org/wiki/stubornness","Vice","Adamancy, Implacability, Inflexibility, Obstinancy, Rigidity","I+R-","2F0EF3",,
"mora-unhealthiness","Unhealthiness","card-unhealthiness","http://en.wiktionary.org/wiki/unhealthiness","Vice","Insalubrity, Unwholesomeness, Sickness","I-O-at","FOOBAD",,
"mora-vagrancy","Vagrancy","card-vagrancy","http://en.wiktionary.org/wiki/vagrancy","Vice","Poverty, Vagabondage","O-A-","B32727","Disregard for self-sufficiency",
"mora-vanity","Vanity","card-vanity","http://en.wiktionary.org/wiki/vanity","Vice","Conceit, Immodesty, Narcissism","I+O+E+","CC99D1",,
"mora-wantonness","Wantonness","card-wantonness","http://en.wiktionary.org/wiki/wantonness","Vice","Anarchy, Recalcitrance, Indocility, Unruliness","E+C","2D8AF3",,
"mora-wastefulness","Wastefulness","card-wastefulness","http://en.wiktionary.org/wiki/wastefulness","Vice","Extravagance, Exorbitance, Overindulgence, Unthrift","O+A+","808080",,
"mora-weakness","Weakness","card-weakness","http://en.wiktionary.org/wiki/weakness","Vice","Helplessness, Ineptness, Powerlessness","I-e-s-t-","BA3434",,
"mora-wrath","Wrath","card-wrath","http://en.wiktionary.org/wiki/wrath","Vice","Aggression, Brutality, Hate, Hatefulness, Hatred, Mercilessness, Pitilessness, Violence","E+A+","A1A1FD",,
"mora-zealotry","Zealotry","card-zealotry","http://en.wiktionary.org/wiki/zealotry","Vice","Fanaticism, Unctuousness","S+","FF1234","Blindly faithful to detriment to oneself or community.",
"mora-abstinence","Abstinence","card-abstinence","http://en.wiktionary.org/wiki/abstinence","Virtue","Abstention, Chastity, Purity.","A!","FF4321","Complete restraint from sexual behavior.","passion"
"mora-aptitude","Aptitude","card-aptitude","http://en.wiktionary.org/wiki/aptitude","Virtue","Ability, Excellence, Potential, Precision, Industriousness, Savvy, Talent","AOt","FB61ED","Readiness for excellence in action or thought.","balance"
"mora-austerity","Austerity","card-austerity","http://en.wiktionary.org/wiki/austerity","Virtue","Impassiveness, Seriousness, Sternness, Stoicism","E!","94C1AA",,"humor"
"mora-awareness","Awareness","card-awareness","http://en.wiktionary.org/wiki/awareness","Virtue","Discernment, Mindfulness,  Perceptiveness, Sedulity","TR","1C94BC",,
"mora-balance","Balance","card-balance","http://en.wiktionary.org/wiki/balance","Virtue","Equilibrium, Harmony, Stability","AEIOPRST","A0B0C0",,"focus"
"mora-character","Character","card-character","http://en.wiktionary.org/wiki/character","Virtue","Finesse, Flair, Mettle, Style","I","802C00",,
"mora-charity","Charity","card-charity","http://en.wiktionary.org/wiki/charity","Virtue","Altruism, Benevolence, Generosity, Givingness, Philanthropy, Sharing, Tithe","RSEa","F2D43F","Actions taken to aid to those less fortunate.","gratitude"
"mora-cleanliness","Cleanliness","card-cleanliness","http://en.wiktionary.org/wiki/cleanliness","Virtue","Neatness, Orderliness, Wholesomeness","IOets","871DDA",,
"mora-compassion","Compassion","card-compassion","http://en.wiktionary.org/wiki/compassion","Virtue","Caring, Empathy, Humaneness, Humanity, Pity, Remorse, Sympathy","ER","FF0000",,
"mora-confidence","Confidence","card-confidence","http://en.wiktionary.org/wiki/confidence","Virtue","Boldness, Conviction, Self-Confidence","IOT","BCA151","Belief in one's own ability.",
"mora-cooperation","Cooperation","card-cooperation","http://en.wiktionary.org/wiki/cooperation","Virtue","Cooperativeness, Helpfulness, Solidarity, Sportsmanship, Teamwork","ARO","1C943D","Willingness to work with others.",
"mora-courage","Courage","card-courage","http://en.wiktionary.org/wiki/courage","Virtue","Bravery, Fearlessness, Fortitude, Manliness, Valor","AREI!","1CD567",,"prudence"
"mora-creativity","Creativity","card-creativity","http://en.wiktionary.org/wiki/creativity","Virtue","Artistry, Imagination, Ingenuity, Inventiveness, Vision","ASEO","FFFC17","Able to create new ideas",
"mora-curiosity","Curiosity","card-curiosity","http://en.wiktionary.org/wiki/curiosity","Virtue","Inquisitiveness, Interest, Wonder","TOa","000000","Desire to acquire knowledge.",
"mora-dignity","Dignity","card-dignity","http://en.wiktionary.org/wiki/dignity","Virtue","Gravity, Self-Awareness, Self-Esteem, Self-Respect","IR!t","ADADAD","Conduct indicative of self-respect.",
"mora-diligence","Diligence","card-diligence","http://en.wiktionary.org/wiki/diligence","Virtue","Action, Ambition, Commitment, Dedication, Determination, Drive, Effort, Tenacity, Vigilance","A","F0B06F","Constant and earnest effort towards accomplishment",
"mora-discipline","Discipline","card-discipline","http://en.wiktionary.org/wiki/discipline","Virtue","Achievement, Self-Discipline, Studiousness","OTi","F7F906",,"cooperation"
"mora-encouragement","Encouragement","card-encouragement","http://en.wiktionary.org/wiki/encouragement","Virtue","Advocacy, Commendation","REo","DDA123",,
"mora-endurance","Endurance","card-endurance","http://en.wiktionary.org/wiki/endurance","Virtue","Perseverance, Resilience, Resolution, Resolve, Steadfastness, Sufferance","P","00B6F0","ability to recover from or adjust easily to misfortune or change","persistence"
"mora-faith","Faith","card-faith","http://en.wiktionary.org/wiki/faith","Virtue","Devoutness, Piety, Piousness, Soul, Spirituality","S","005511","belief in spiritual matters","reason"
"mora-fellowship","Fellowship","card-fellowship","http://en.wiktionary.org/wiki/fellowship","Virtue","Diplomacy, Unity","R","F3F113","Active engagement in community.","individuality"
"mora-fidelity","Fidelity","card-fidelity","http://en.wiktionary.org/wiki/fidelity","Virtue","Devotion, Faithfulness","RTE","551347",,
"mora-flexibility","Flexibility","card-flexibility","http://en.wiktionary.org/wiki/flexibility","Virtue","Affability, Adaptability","RI!t","B9C41D",,
"mora-focus","Focus","card-focus","http://en.wiktionary.org/wiki/focus","Virtue","Attention, Concentration, Direction, Perspicacity, Purpose, Purposefulness","TOip","40277B","a central point, as of attraction, attention, or activity ","spontaneity"
"mora-forgiveness","Forgiveness","card-forgiveness","http://en.wiktionary.org/wiki/forgiveness","Virtue","Clemency","RSAei!","C0BBA0",,
"mora-grace","Grace","card-grace","http://en.wiktionary.org/wiki/grace","Virtue","Courtesy, Courteousness, Mercy, Poise, Tact, Tactfulness","SE","F9DBAC",,
"mora-gratitude","Gratitude","card-gratitude","http://en.wiktionary.org/wiki/gratitude","Virtue","Appreciation, Reflection, Thankfulness","RTS","C0EA3D",,
"mora-happiness","Happiness","card-happiness","http://en.wiktionary.org/wiki/happiness","Virtue","Cheerfulness, Congeniality, Idealism, Positivity, Joy","Es","EFA23A",,"kindness"
"mora-health","Health","card-health","http://en.wiktionary.org/wiki/health","Virtue","Athleticism, Body, Constitution, Dexterity, Salubrity, Self-Preservation, Strength","IOets","C0472D","Concern with the general condition of the body or mind.",
"mora-honesty","Honesty","card-honesty","http://en.wiktionary.org/wiki/honesty","Virtue","Authenticity, Candor, Earnestness, Genuineness, Sincerity, Straightforwardness, Truthfulness","TOr","1ADFA1",,
"mora-honor","Honor","card-honor","http://en.wiktionary.org/wiki/honor","Virtue","Chivalry, Duty, Dutifulness, Gravitas, Gravity, Service","ARTs","FFFFFF",,
"mora-hope","Hope","card-hope","http://en.wiktionary.org/wiki/hope","Virtue","Hopefulness, Optimism","SEp","EFAB14","Aspiration for success.",
"mora-humility","Humility","card-humility","http://en.wiktionary.org/wiki/humility","Virtue","Humbleness, Meekness, Repentance","I!S","CC73DD",,
"mora-humor","Humor","card-humor","http://en.wiktionary.org/wiki/humor","Virtue","Levity, Wit","TEPS","A67D3D",,"happiness"
"mora-independence","Independence","card-independence","http://en.wiktionary.org/wiki/independence","Virtue","Autonomy, Free-Spiritedness, Individualism, Individuality,Self-reliance, Self-Sufficiency","R!","7AE615","Freedom from the influence of others.","leadership"
"mora-instinct","Instinct","card-instinct","http://en.wiktionary.org/wiki/instinct","Virtue","Intuition, Spontaneity, Uninhibitedness","P!","98AA3D","Ability to choose a course of action without premeditation.",
"mora-introspection","Introspection","card-introspection","http://en.wiktionary.org/wiki/introspection","Virtue","Acuity, Introversion, Meditation","IT","254E7E",,
"mora-justice","Justice","card-justice","http://en.wiktionary.org/wiki/justice","Virtue","Authority, Fairness, Impartiality, Righteousness","TROA","7B4027","Deference to action that is socially equitable to parties involved.",
"mora-kindness","Kindness","card-kindness","http://en.wiktionary.org/wiki/kindness","Virtue","Consideration, Friendliness, Gentleness, Generosity, Hospitality, Thoughtfulness","ERts","FF11EE",,
"mora-kinship","Kinship","card-kinship","http://en.wiktionary.org/wiki/kinship","Virtue","Consanguinity, Family, Maternity, Nurture, Parentage, Paterniy","REOi","ACFE1F",,
"mora-leadership","Leadership","card-leadership","http://en.wiktionary.org/wiki/leadership","Virtue","Control, Forbearance, Nobility","ROat","951D71","Ability to guide others in direction, course, action, opinion.","loyalty"
"mora-love","Love","card-love","http://en.wiktionary.org/wiki/love","Virtue","Lovingness","Ers","A15BCB",,
"mora-loyalty","Loyalty","card-loyalty","http://en.wiktionary.org/wiki/loyalty","Virtue","Citizenship, Obedience, Submission","RI!e","75951D",,
"mora-modesty","Modesty","card-modesty","http://en.wiktionary.org/wiki/modesty","Virtue","Demureness, Decency, Discreetness, Propriety, Reserve","IOTr","EDA5D0",,
"mora-morality","Morality","card-morality","http://en.wiktionary.org/wiki/morality","Virtue","Ethicality, Goodness, Integrity, Principle, Rectitude, Uprightness, Virtuousness","TOes","860C1F","Interest with the correctness of conduct.",
"mora-pacifism","Pacifism","card-pacifism","http://en.wiktionary.org/wiki/pacifism","Virtue","Ahimsa, Harmlessness, Peace, Nonviolence","A!ei!","270B57","Opposition to violence of any kind.",
"mora-passion","Passion","card-passion","http://en.wiktionary.org/wiki/passion","Virtue","Ardor, Initiative, Intensity, Zeal","E","DA11AD","Singular drive towards a goal or another's affections",
"mora-patience","Patience","card-patience","http://en.wiktionary.org/wiki/patience","Virtue","Composure","PO","E0FF01",,"will"
"mora-persistence","Persistence","card-persistence","http://en.wiktionary.org/wiki/persistence","Virtue","Assiduousness, Perseverance","AP","1F718C",,"patience"
"mora-prudence","Prudence","card-prudence","http://en.wiktionary.org/wiki/prudence","Virtue","Cautiousness, Discretion, Sagaciousness, Preparedness, Readiness, Restraint, Suspicion","A!T","6A7DBD","Concern for deferment of nominal immediate gains for long-term substantial gains.",
"mora-punctuality","Punctuality","card-punctuality","http://en.wiktionary.org/wiki/punctuality","Virtue","Promptness, Timeliness","OPr","F27112",,
"mora-reason","Reason","card-reason","http://en.wiktionary.org/wiki/reason","Virtue","Judgement, Knowledge, Logic, Order, Philomathy, Rationale, Thought","T","ED7997",,
"mora-respect","Respect","card-respect","http://en.wiktionary.org/wiki/respect","Virtue","Praiseworthiness, Remembrance, Reverence, Respectfulness, Respectability","ORt","D2F4EF","Esteem for another person, a personal quality or ability.",
"mora-responsibility","Responsibility","card-responsibility","http://en.wiktionary.org/wiki/responsibility","Virtue","Dependability, Ownership, Reliability, Remembrance, Reverence, Respectfulness, Respectability, Trustworthiness","O","DADBDB","Fulfillment of a particular burden of obligation.","trust"
"mora-sacrifice","Sacrifice","card-sacrifice","http://en.wiktionary.org/wiki/sacrifice","Virtue","Renunciation","RI!","9376AF",,
"mora-secularity","Secularity","card-secularity","http://en.wiktionary.org/wiki/secularity","Virtue","Irreligion, Secularism, Unspiritualness","S!","4072AA","Dedication to strictly logical and provable ideals.",
"mora-selflessness","Selflessness","card-selflessness","http://en.wiktionary.org/wiki/selflessness","Virtue","Unselfishness","I!","E20F34","Disregard for personal safety and comfort for a greater purpose.","sacrifice"
"mora-sensitivity","Sensitivity","card-sensitivity","http://en.wiktionary.org/wiki/sensitivity","Virtue","Acuteness","IER","F39613","Capacity to sense emotions and motivations of others.",
"mora-serenity","Serenity","card-serenity","http://en.wiktionary.org/wiki/serenity","Virtue","Calmness, Contentment, Detachment, Equanimity, Silence, Tranquility","T!","1C94BF",,
"mora-temperance","Temperance","card-temperance","http://en.wiktionary.org/wiki/temperance","Virtue","Moderation, Self-Control, Sobriety","O!IS","AB8347","Restraint from excessive behaviors.",
"mora-thrift","Thrift","card-thrift","http://en.wiktionary.org/wiki/thrift","Virtue","Frugality, Poverty","O!","BDBDF4","Desire to minimize monetary waste.","charity"
"mora-tolerance","Tolerance","card-tolerance","http://en.wiktionary.org/wiki/tolerance","Virtue","Acceptance, Openness, Understanding","RT","00FFFF","Acceptance of perspectives different than one's own.",
"mora-trust","Trust","card-trust","http://en.wiktionary.org/wiki/trust","Virtue","Troth","TR","234F3A","Ability to rely on others.",
"mora-will","Will","card-will","http://en.wiktionary.org/wiki/will","Virtue","Assertiveness, Extroversion, Liberality","AO","654321","Enforcement of one's actions or perspective, possibly on others.","flexibility"
"mora-wisdom","Wisdom","card-wisdom","http://en.wiktionary.org/wiki/wisdom","Virtue","Conscientiousness, Foresight, Good Judgement, Insight, Intelligence","TOP","CC94C1","Retention of knowledge via experience.",
